orb0,orb1,orb2,orb3,orb4,orb5,orb6,orb7,orb8,orb9,orb10,orb11,orb12,orb13,orb14,orb15,orb16,orb17,orb18,orb19,orb20,orb21,orb22,orb23,orb24,orb25,orb26,orb27,orb28,orb29,prev,curr,score
3,5,4,1,5,5,2,3,4,5,3,4,1,1,2,2,1,1,1,5,4,1,4,1,4,4,2,1,4,3,-1,12,5150
2,4,4,2,2,6,4,6,6,1,6,2,6,2,2,6,6,1,6,2,4,6,1,4,4,1,6,6,2,1,23,29,6150
1,6,1,5,4,2,4,6,1,4,6,3,3,5,4,4,1,1,1,2,5,6,2,2,2,2,4,2,3,4,2,1,4100
4,5,4,5,4,5,4,2,3,3,1,1,2,4,2,4,2,2,2,2,5,2,1,3,2,5,4,2,1,4,11,5,6250
5,1,5,6,2,6,4,1,3,6,3,3,2,5,3,2,4,3,5,2,2,3,4,4,4,6,3,2,2,6,18,12,5150
3,4,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,3,3,3,4,4,4,3,4,4,4,4,3,4,16,15,7150
3,4,6,1,6,6,1,3,1,5,3,1,5,3,1,5,3,6,6,5,6,3,1,4,6,1,1,5,6,1,10,11,5200
5,3,1,4,2,4,5,6,6,5,6,3,1,5,6,1,1,3,4,6,4,6,2,4,4,5,6,2,2,6,25,19,5150
4,1,6,4,2,2,4,4,5,6,4,2,3,2,5,5,4,5,1,1,6,4,5,3,3,5,6,5,3,4,12,6,5150
4,5,5,4,4,4,4,5,5,4,5,5,5,4,5,4,5,4,4,5,4,4,4,4,4,5,4,5,4,5,0,6,8150
5,3,2,2,2,5,3,2,6,1,1,5,1,2,1,6,6,1,4,2,6,1,2,5,1,6,4,3,5,4,11,5,5150
5,2,2,1,6,1,5,4,6,2,2,5,6,4,4,6,3,2,4,2,4,2,5,3,6,2,4,5,2,6,7,8,5200
3,6,4,3,2,4,4,1,6,1,3,2,2,6,6,6,4,1,1,3,2,6,2,1,4,4,6,2,1,3,12,18,5100
4,6,6,3,5,1,4,3,2,6,6,2,5,1,3,4,3,2,1,4,4,4,5,5,4,3,3,5,3,6,14,15,6200
3,5,5,1,4,5,3,2,6,3,6,4,1,1,2,3,2,5,3,2,3,2,6,6,6,1,2,2,1,3,0,1,5100
4,2,3,2,2,6,5,5,2,5,3,4,1,5,4,1,2,2,4,6,4,5,1,4,4,4,3,1,5,3,4,5,3150
4,6,4,6,4,4,1,4,1,6,4,4,4,4,6,6,1,4,4,6,1,6,1,6,6,6,4,4,1,4,0,1,8200
2,5,2,5,5,2,5,5,5,5,2,2,5,5,5,2,2,2,5,5,2,5,5,5,5,2,2,2,2,5,16,15,7150
5,1,5,1,5,1,5,1,1,5,1,1,1,1,5,5,5,5,5,1,1,5,1,1,5,1,5,1,5,1,19,18,8200
6,5,6,6,5,5,3,3,6,6,3,6,5,3,6,5,6,5,6,6,3,5,3,3,6,6,3,6,5,6,-1,16,7200
4,4,4,4,4,4,6,6,6,6,6,4,4,6,6,4,6,4,4,6,6,4,6,4,4,4,4,6,4,6,13,19,8250
3,2,1,2,1,2,1,5,4,1,3,2,6,4,2,5,4,5,5,5,2,3,6,6,5,1,2,3,2,6,26,20,5200
3,2,6,3,4,3,5,6,3,1,1,4,2,3,4,1,1,1,3,2,1,6,2,4,5,5,1,5,4,4,10,4,5200
6,1,3,3,4,6,2,6,5,2,1,3,6,6,3,5,6,5,1,1,2,3,3,2,2,2,1,4,3,6,27,26,5100
2,4,1,6,6,1,5,3,4,2,2,6,1,2,1,4,4,4,6,6,5,5,2,4,6,6,4,5,2,2,21,22,6150
1,4,2,3,4,3,3,2,2,3,3,3,1,4,1,3,2,4,1,2,2,4,3,4,2,3,4,4,2,3,4,10,6200
4,5,1,2,3,2,6,6,2,4,5,5,3,6,4,3,2,2,5,4,2,2,3,3,4,5,1,3,3,5,6,7,5200
4,3,4,3,2,1,2,1,3,1,4,3,4,6,1,5,1,4,1,1,3,4,3,5,1,6,3,3,2,5,3,2,5150
5,2,5,5,4,3,6,2,3,5,2,5,5,3,6,1,3,1,1,6,5,5,1,5,4,6,3,1,1,4,7,13,5050
6,4,3,3,5,6,6,1,5,6,2,5,2,4,3,6,4,4,3,6,3,4,4,5,3,2,4,6,6,2,17,23,4150
2,1,1,3,2,1,3,5,1,5,1,3,5,4,1,1,3,5,3,3,3,3,1,1,1,2,5,2,5,5,22,21,6150
1,6,4,2,3,3,2,5,6,5,5,4,2,1,3,2,4,2,3,3,1,2,4,1,3,1,6,1,6,2,5,11,4150
3,3,4,1,6,6,6,6,3,4,1,3,1,6,1,3,6,4,1,6,4,3,1,3,3,3,4,4,6,3,25,24,4150
1,1,2,3,2,2,4,1,1,4,4,4,1,2,4,2,3,3,3,5,2,3,3,1,5,4,4,3,2,5,1,2,6100
6,5,6,2,2,6,6,2,5,5,5,6,5,2,4,5,6,6,4,6,5,4,5,5,4,5,4,4,6,5,1,7,7250
3,6,3,1,1,5,4,2,1,2,1,1,1,4,2,3,1,1,4,3,2,4,4,2,1,6,2,3,4,6,-1,15,5150
3,6,6,6,6,6,3,6,6,6,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,3,6,6,6,6,23,22,7200
3,5,5,5,5,5,3,1,1,6,4,4,5,6,6,5,1,5,1,6,1,5,5,4,4,6,6,3,4,6,13,14,6150
2,6,4,2,4,2,3,6,6,2,3,3,3,4,6,4,6,2,6,6,4,3,3,3,2,4,3,3,2,6,3,2,6200
3,1,1,1,3,3,3,1,1,1,6,1,3,1,6,6,6,3,6,3,1,3,3,1,6,6,6,6,1,3,17,11,8150
6,6,6,4,5,6,5,3,4,3,6,4,4,5,6,6,6,5,4,5,6,6,3,6,6,4,4,4,6,6,7,8,7100
3,5,5,1,4,5,6,3,6,1,1,2,4,3,2,3,5,5,3,3,3,3,2,4,1,2,4,6,4,4,22,23,5100
2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,5,5,2,5,2,5,5,5,5,1,0,4100
5,6,2,3,5,1,6,4,4,2,3,5,1,6,3,5,6,5,1,5,2,1,4,1,5,1,1,6,6,1,20,26,3150
5,6,5,3,5,3,2,2,6,6,2,1,1,6,5,1,6,3,2,6,3,3,6,3,2,5,6,3,5,1,18,12,5200
4,3,5,5,4,4,3,5,4,5,4,1,4,4,6,3,2,6,4,1,1,2,4,4,6,5,3,4,1,3,8,9,4150
4,1,3,2,2,6,2,3,1,1,5,6,4,2,3,2,3,2,3,3,3,5,4,3,3,5,3,3,1,5,28,27,4150
5,4,1,6,1,6,2,2,5,2,4,3,4,1,3,4,2,5,2,2,1,6,1,2,4,6,2,1,1,2,2,8,4200
1,6,1,1,6,6,5,5,6,6,5,6,1,2,5,2,3,5,6,3,2,5,1,6,3,3,6,2,1,5,22,16,6150
4,1,3,5,2,4,6,6,2,2,5,3,2,5,1,1,1,1,6,4,4,2,3,2,5,5,6,2,2,2,7,1,6200
4,3,2,3,6,3,5,4,6,6,6,5,5,5,6,4,3,2,4,3,4,3,5,5,5,5,2,3,4,3,1,2,5150
4,2,2,4,5,2,1,1,3,3,3,5,6,3,1,5,1,3,2,5,1,4,1,1,2,1,6,3,4,4,4,5,4150
3,2,5,6,6,5,2,4,1,4,5,1,6,6,5,5,6,5,3,5,6,5,5,3,3,5,1,3,3,1,9,3,4200
2,1,1,1,2,2,1,2,2,1,2,2,2,1,1,2,2,1,1,2,1,1,1,2,2,1,2,1,2,1,10,11,8200
6,1,6,6,4,1,1,4,6,4,6,4,1,1,6,6,6,4,4,1,1,6,6,1,6,4,1,6,6,1,15,21,6200
3,1,1,5,5,2,6,5,6,1,4,6,5,4,5,5,3,5,1,2,6,2,3,1,4,2,1,5,5,2,11,17,3150
4,3,2,4,1,3,2,1,4,4,4,3,4,1,6,1,1,3,3,4,5,4,5,3,6,1,6,2,3,5,-1,23,5100
4,5,3,3,6,1,4,6,1,3,2,3,2,3,2,3,2,3,5,6,3,2,1,1,3,3,3,6,1,1,2,3,6150
3,3,5,4,5,3,4,4,4,5,4,3,3,4,3,4,5,4,3,5,3,5,3,3,5,4,5,4,4,3,8,9,8200
6,2,6,3,1,1,2,5,5,4,4,4,3,5,3,5,5,5,1,6,5,6,5,5,3,2,3,6,3,6,4,10,5100
2,3,3,2,3,2,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,-1,8,6200
5,1,1,2,5,3,4,2,3,5,2,5,1,2,3,6,4,5,1,1,3,2,2,4,1,4,2,5,3,6,20,19,5050
2,5,5,4,5,1,6,1,4,6,4,5,6,2,5,5,5,4,1,2,1,2,6,2,4,1,6,1,6,1,15,14,6200
4,3,4,4,3,5,3,4,4,3,4,4,4,3,3,5,4,3,3,4,4,3,5,3,5,5,3,3,5,3,28,27,7250
5,2,2,1,3,4,5,6,4,1,6,6,4,6,4,2,4,4,4,2,1,1,3,1,6,3,5,2,3,3,-1,28,4150
3,3,5,1,1,1,5,5,5,5,1,1,3,3,3,5,1,3,1,1,3,3,3,5,3,1,3,2,1,3,17,11,6150
4,6,3,1,6,4,6,1,3,2,5,6,4,1,2,3,2,3,2,5,3,1,2,2,3,4,3,1,1,3,25,26,4200
5,4,3,5,3,5,4,5,4,4,4,4,3,4,4,5,3,5,5,5,4,5,3,3,3,5,3,5,5,3,26,27,6200
4,4,5,5,5,2,4,2,4,4,2,5,5,4,5,2,4,5,5,5,2,2,5,2,2,4,2,5,5,4,17,16,8150
4,2,6,4,4,4,2,4,6,2,2,6,6,4,6,6,6,2,6,4,4,2,2,4,2,4,6,6,2,2,10,16,8150
1,5,5,4,6,5,2,1,4,5,3,6,5,1,5,5,2,5,1,4,5,1,3,3,6,1,6,2,1,1,10,4,4100
6,2,5,6,5,5,4,4,1,2,1,1,2,3,5,5,6,1,6,5,4,2,4,6,5,1,5,6,4,6,11,10,5200
4,5,5,6,2,5,6,6,3,4,5,1,5,3,3,1,1,3,3,4,5,3,5,2,3,6,2,6,3,1,29,23,4200
1,1,2,2,6,6,2,6,1,1,2,3,6,2,4,3,6,2,6,6,1,1,6,2,3,3,1,6,1,2,4,3,6150
2,3,3,2,2,3,2,2,3,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,17,16,6100
5,2,2,5,6,6,2,6,6,6,5,5,5,5,5,6,5,5,2,2,6,5,2,6,6,2,2,6,5,6,22,21,8250
1,4,2,3,5,2,6,5,1,6,5,3,3,5,4,6,4,2,1,1,4,6,2,3,2,1,4,1,5,2,10,16,6150
4,2,5,1,5,3,2,4,3,2,6,4,1,6,3,2,5,4,2,5,4,6,3,3,3,1,4,4,5,5,14,15,4100
1,1,4,4,3,5,6,5,5,6,3,4,2,5,6,5,6,5,5,5,2,2,4,2,5,4,2,2,1,3,16,22,6200
6,2,5,1,6,6,2,5,5,4,4,6,1,2,4,6,1,2,2,5,1,4,4,4,4,1,1,5,4,6,10,4,5200
1,1,1,1,1,4,1,2,2,1,2,2,1,1,2,4,2,1,2,4,2,1,2,4,1,2,1,1,2,1,7,13,7150
6,3,5,6,5,6,3,3,5,3,5,6,3,5,6,6,5,5,5,6,6,5,6,6,5,6,5,6,5,5,13,7,8250
2,2,5,6,6,6,3,4,3,1,6,4,3,3,6,1,3,4,1,2,2,5,4,3,4,5,1,1,4,1,19,13,4150
3,1,6,1,2,5,4,6,2,5,2,1,1,3,3,5,2,1,3,1,4,5,3,5,6,3,1,3,1,4,3,2,5150
3,1,6,4,6,2,1,1,6,3,6,1,5,4,3,5,1,3,3,2,4,6,1,5,3,4,6,3,6,5,20,19,4150
1,3,5,5,2,4,4,3,1,4,4,2,6,3,5,1,5,4,4,5,4,2,2,5,1,2,2,3,3,6,2,3,4150
5,3,3,5,4,1,1,1,5,3,1,4,5,5,4,1,1,1,5,1,1,5,3,3,4,4,4,5,1,1,21,22,7050
3,2,3,1,1,1,3,1,3,1,3,3,2,1,2,1,1,1,1,3,1,1,2,2,3,2,1,2,1,3,20,14,6150
2,1,2,4,2,4,2,2,1,6,5,1,2,6,6,5,1,3,2,3,4,3,6,6,1,3,2,4,3,1,27,26,4150
6,6,6,2,6,2,2,6,6,6,2,2,6,2,2,6,6,2,2,6,6,6,6,2,2,6,2,2,2,6,23,22,8100
4,6,6,4,6,6,6,4,4,6,6,6,6,6,4,4,6,4,6,6,6,6,6,6,6,4,4,4,4,6,9,8,7200
1,3,3,6,3,3,2,3,4,1,5,1,4,5,4,6,5,3,6,2,1,6,4,4,1,2,1,2,2,3,7,13,6100
3,5,2,4,1,1,5,6,2,5,2,6,6,5,4,5,3,6,3,5,3,2,1,3,1,4,4,1,4,4,26,25,3150
3,2,1,6,1,6,5,4,3,3,2,1,4,5,4,3,3,6,4,2,3,5,5,1,4,5,3,6,1,5,14,8,6150
6,6,4,6,6,4,4,4,4,6,4,6,4,6,6,4,6,6,6,6,4,6,6,6,6,6,4,4,4,6,12,6,8100
5,3,6,1,6,6,5,1,3,5,3,3,3,3,6,6,1,3,5,1,5,3,5,6,1,1,5,6,5,6,13,19,6250
4,2,3,1,5,6,6,6,6,2,3,3,4,3,4,2,4,6,3,2,5,6,6,3,3,6,6,5,1,3,18,19,5100
3,1,1,3,3,3,3,3,1,3,3,3,3,3,3,1,1,1,1,3,3,3,1,1,3,1,1,3,1,3,19,20,8200
3,1,4,2,3,5,4,4,5,3,5,4,2,3,1,3,1,2,4,5,1,2,4,5,1,1,1,2,1,1,10,16,5200
1,1,5,5,1,5,1,1,1,1,1,5,6,3,6,5,5,6,5,6,3,6,5,5,6,1,1,1,1,6,24,18,7050
6,3,6,1,6,4,4,6,5,4,2,1,6,1,5,6,4,6,1,1,3,1,3,1,4,5,4,1,5,5,9,10,3150
6,2,2,2,4,6,3,6,5,4,4,3,3,5,6,6,6,4,5,6,2,5,2,6,3,4,6,3,6,5,22,16,6250
